ClientName,ClassName,Category,ElementName,ExpectedTitleText,ExpectedCTAText,ExpectedDismiss,ExpectedInfoText,ExpectedIncentiveValue,ExpectedIncentiveType,BlankColumnNeeded
health trust,Page_Journey,newmemberjourney,WelcomeVideoTileText,Welcome Video,Watch,TRUE,This short Welcome Video provides a quick and helpful introduction to your wellness program,,,
health trust,Page_Journey,newmemberjourney,HATileText,Health Assessment,Take Me There,TRUE,Completing your Health Assessment is the first step to creating a wellness program,,,
health trust,Page_Journey,newmemberjourney,BioMetricHealthTileText,Biometric Health Screening,Learn More,TRUE,Learn the numbers that could save your life and earn a $75 reward!,,,
health trust,Page_Journey,newmemberjourney,ContactHealthCoachTileText,Contact Your Health Coach,Contact,TRUE,Make a new friend who listens,15,$,
health trust,Page_Journey,newmemberjourney,DownloadAlwaysOnAppTileText,Download the AlwaysOn,Download,TRUE,You use your mobile device for everything from checking the weather to buying movie tickets,10,$,
health trust,Page_Journey,newmemberjourney,JoinAChallengeTileText,Join A Challenge,Join Challenge,TRUE,Your wellness program offers a number of personal challenges to get your competitive juices flowing,5,$,
health trust,Page_Journey,newmemberjourney,ConnectFitnessDeviceOrAppTileText,Connect Your Fitness Device or App,Connect,TRUE,Regular physical activity is a proven and effective way to lower your blood pressure,5,$,
health trust,Page_Journey,newmemberjourney,OrderAFitnessDeviceTileText,Order a Fitness Device,Shop Now,FALSE,Stay Connected!,,,
health trust,Page_Journey,newmemberjourney,TrackWithNutritionAppTileText,Track with your Nutrition App,Connect App,TRUE,Just making a few simple changes to your diet,5,$,
health trust,Page_Journey,newmemberjourney,SelfDirectedCourseTileText,Self-Directed Course-Preventive Health,Take The Course,TRUE,More than two-thirds of all deaths in the United States are caused by just five chronic diseases,15,$,
health trust,Page_Journey,newmemberjourney,SelfDirectedProgressCheckInTileText,Self-Directed Progress Check-In Completion,Check-In,TRUE,Healthy living is a lifelong pursuit,5,$,
health trust,Page_Journey,newmemberjourney,ConnectWithCollegueTileText,Connect with a Colleague,Connect,TRUE,Inviting other HealthTrust Enrollees to become part of your health journey,5,$,

meabt,Page_Journey,newmemberjourney,WelcomeVideoTileText,Welcome Video,Watch The Video,TRUE,This short Welcome Video provides a quick and helpful introduction to your wellness program,,,
meabt,Page_Journey,newmemberjourney,HATileText,Health Assessment,Take Your HA,FALSE,Completing your Health Assessment is the first step to creating a wellness program,25,PTS,
meabt,Page_Journey,newmemberjourney,BiometricHealthScreeningTileText,Biometric Health Screening,Learn More,TRUE,A biometric screening measures the key factors that affect the development of heart disease,20,PTS,
meabt,Page_Journey,newmemberjourney,ConnectWithCoachTileText,Connect with a Coach,Contact,TRUE,The journey to a healthier you is easier when you,,,
meabt,Page_Journey,newmemberjourney,DownloadTheAppTileText,Download The App,Download App,TRUE,You use your mobile device for everything from checking the weather to buying movie tickets,,,
meabt,Page_Journey,newmemberjourney,JoinChallengeTileText,Join A Challenge,Join,TRUE,Real change begins when you challenge yourself,,,
meabt,Page_Journey,newmemberjourney,ConnectFitnessDeviceTileText,Connect Your Fitness Device,Connect,TRUE,Regular physical activity is a proven and effective way to lower your blood pressure,,,
meabt,Page_Journey,newmemberjourney,ConnectNutritionAppTileText,Connect Your Nutrition App,Connect App,TRUE,Discover how to eat your way to better health,,,
meabt,Page_Journey,newmemberjourney,PreventiveHealthTileText,Preventive Health,Take The Course,TRUE,More than two-thirds of all deaths in the United States are caused by just five chronic diseases,15,PTS,
meabt,Page_Journey,newmemberjourney,ProgressCheckInTileText,Progress Check-In,Check-In,TRUE,Healthy living is a lifelong pursuit,5,PTS,

group 44,Page_Journey,newmemberjourney,WelcomeVideoTileText,Welcome Video,Watch,TRUE,This short Welcome Video provides a quick and helpful introduction to your wellness program,,,
group 44,Page_Journey,newmemberjourney,HealthAssessmentTileText,Health Assessment,Take Me There,FALSE,Completing your health assessment is the first step to creating a well-being program,0,PT,
group 44,Page_Journey,newmemberjourney,BiometricScreeningTileText,Biometric Screening,Learn More,FALSE,Using data to fine-tune your customized well-being program,0,PT,
group 44,Page_Journey,newmemberjourney,TrackersPageTileText,Trackers Home Page,Go To Trackers,FALSE,ake the fast track to meeting your wellness goals,,,
group 44,Page_Journey,newmemberjourney,DownloadAppTileText,Download the AlwaysOn App,Download App,TRUE,Download the AlwaysOn App,,,
group 44,Page_Journey,newmemberjourney,ConnectDeviceTileText,Connect Your Fitness Device,Connect,TRUE,Not enough physical activity in your day?,,,
group 44,Page_Journey,newmemberjourney,ConnectAppTileText,Connect Your Nutrition App,Connect,TRUE,Discover how to eat your way to better health,,,
group 44,Page_Journey,newmemberjourney,MyCompanyTileText,My Company,My Company,TRUE,BlueCross BlueShield of Tennessee Wellness Program,,,
group 44,Page_Journey,newmemberjourney,TakeCourseTileText,Take the Preventive Health Course,Take The Course,TRUE,what they say about an ounce of prevention,25,PTS,
group 44,Page_Journey,newmemberjourney,ProgressInTileText,Progress Check-In,Check-In,TRUE,Healthy living is a lifelong pursuit,,,
group 44,Page_Journey,newmemberjourney,InviteConnectionTileText,Invite A Connection,Invite Now,TRUE,Now available with high fives,,,
group 44,Page_Journey,newmemberjourney,ListenPodcastTileText,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help you lose weight,,,

onlife health,Page_Journey,newmemberjourney,WelcomeVideoTileText,Welcome Video,Watch,TRUE,This short Welcome Video provides a quick and helpful introduction to your wellness program,,,
onlife health,Page_Journey,newmemberjourney,HealthAssessmentTileText,Health Assessment,Take me there,FALSE,Completing your health assessment is the first step to creating a well-being program,0,PT,
onlife health,Page_Journey,newmemberjourney,BiometricScreeningTileText,Biometric Screening,Learn More,TRUE,A biometric screening measures the key factors that affect the development of heart disease,0,PT,
onlife health,Page_Journey,newmemberjourney,ContactACoachTileText,Contact a Coach,Contact Now,TRUE,We mix the art and science of coaching to provide members with a cohesive,,,
onlife health,Page_Journey,newmemberjourney,DownloadAlwaysOnAppTileText,Download AlwaysOn App,Download,TRUE,Download AlwaysOn App,,,
onlife health,Page_Journey,newmemberjourney,ConnectYourFitnessDeviceTileText,Connect Your Fitness Device,Connect,TRUE,Not enough physical activity in your day,,,
onlife health,Page_Journey,newmemberjourney,ConnectYourNutritionAppTileText,Connect Your Nutrition App,Connect App,TRUE,Discover how to eat your way to better health,,,
onlife health,Page_Journey,newmemberjourney,TakePreventiveHeatlhCourseTileText,Take the Preventive Health Course,Take the Course,TRUE,More than two-thirds of all deaths in the United States are caused by just five chronic diseases,25,PTS,
onlife health,Page_Journey,newmemberjourney,ProgressCheckInTileText,Progress Check-In,Check-In,TRUE,So it just makes sense to check in now and then to see where you stand in meeting your health goals,,,
onlife health,Page_Journey,newmemberjourney,InviteAConnectionTileText,Invite a Connection,Invite Now,TRUE,Inviting co-workers to become part of your health journey gives you the encouragement to keep you moving toward your goal,,,
onlife health,Page_Journey,newmemberjourney,ListenAPodCastTileText,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help you lose weight,,,

arc,Page_Journey,newmemberjourney,WelcomeVideoTileText,Welcome Video,Watch The Video,TRUE,This short Welcome Video provides a quick and helpful introduction to your wellness program,,,
arc,Page_Journey,newmemberjourney,HealthAssessmentTileText,Health Assessment,Take Your HA,FALSE,Completing your Health Assessment is the first step to creating a wellness program,50,PTS,
arc,Page_Journey,newmemberjourney,ConnectCoordinatorTileText,Connect With A Care Coordinator,Contact,FALSE,An ARC Care Coordinator coaches and supports you if you have a chronic condition or health issue,,,
arc,Page_Journey,newmemberjourney,BiometricScreeningTileText,Biometric Health Screening,Learn More,TRUE,It delivers a detailed clinical assessment that identifies any risk factors you may have and provides the objective knowledge you and your doctor need to understand your current health status,100,PTS,
arc,Page_Journey,newmemberjourney,DownloadAppTileText,Download The App,Download App,TRUE,You use your mobile device for everything from checking the weather to buying movie tickets,25,PTS,
arc,Page_Journey,newmemberjourney,EnrollChallengeTileText,Enroll In A Challenge,Join,TRUE,Your wellness program offers a number of personal challenges to get your competitive juices flowing,,,
arc,Page_Journey,newmemberjourney,ConnectDeviceTileText,Connect Your Fitness Device,Connect,TRUE,Regular physical activity is a proven and effective way to lower your blood pressure,25,PTS,
arc,Page_Journey,newmemberjourney,ConnectAppTileText,Connect Your Nutrition App,Connect App,TRUE,Discover how to eat your way to better health,25,PTS,
arc,Page_Journey,newmemberjourney,PreventiveHealthTileText,Preventive Health,Take The Course,TRUE,More than two-thirds of all deaths in the United States are caused by just five chronic diseases,25,PTS,
arc,Page_Journey,newmemberjourney,ProgressInTileText,Progress Check-In,Check-In,TRUE,the reason your wellness program offers a progress check-in,25,PTS,
arc,Page_Journey,newmemberjourney,InviteConnectionTileText,Invite A Connection,Invite,TRUE,Inviting other ARC members to become part of your health journey gives you the encouragement to keep you moving toward your goal,,,

medicare advantage,Page_Journey,newmemberjourney,AnnualWellnessExamTileText,Annual Wellness Exam,Learn More,FALSE,An annual in-network wellness exam is an important first step in maintaining good health and that is why it is offered at no cost to you,,,
medicare advantage,Page_Journey,newmemberjourney,WelcomeVideoTileText,Welcome Video,Watch,FALSE,This short Welcome Video provides a quick and helpful introduction to your well-being program,,,
medicare advantage,Page_Journey,newmemberjourney,HealthNeedsAssessmentTileText,Health Needs Assessment,Take me there,FALSE,Completing your health assessment is the first step to creating a well-being program,20,PTS,
medicare advantage,Page_Journey,newmemberjourney,ProgramSummaryTileText,Program Summary,Program Summary,TRUE,Schedule and complete the screenings you need,,,
medicare advantage,Page_Journey,newmemberjourney,ProgressCheckInTileText,Progress Check-In,Check-In,TRUE,Healthy living is a lifelong pursuit,,,
medicare advantage,Page_Journey,newmemberjourney,MyHealthPlanTileText, My Health Plan,Learn More,TRUE,Learn more information about your Health Plan,,,
medicare advantage,Page_Journey,newmemberjourney,DownloadAlwaysOnAppTileText,Download AlwaysOn App,Download,TRUE,Download AlwaysOn App,,,
medicare advantage,Page_Journey,newmemberjourney,ConnectYourFitnessDeviceTileText,Connect Your Fitness Device,Connect,TRUE,And using a wearable fitness device is a great way to,,,
medicare advantage,Page_Journey,newmemberjourney,ConnectYourNutritionAppTileText,Connect Your Nutrition App,Connect App,TRUE,Just making a few simple changes to your diet,,,
medicare advantage,Page_Journey,newmemberjourney,ListOfTrackersTileText,List of Trackers,Trackers,TRUE,The system will navigate you to your List of Trackers,,,
medicare advantage,Page_Journey,newmemberjourney,MySettingsPageTileText,My Settings Page,Settings,TRUE,Navigates to the settings page,,,

tva,Page_Journey,newmemberjourney,WelcomVideoTile,Welcome Video,Watch,TRUE,a quick and helpful introduction to your wellness program,,,
tva,Page_Journey,newmemberjourney,HealthAssessmentTile,Health Assessment,Take me there,FALSE,Completing your health assessment is the first step,,,
tva,Page_Journey,newmemberjourney,BiometScreening,Biometric Screening,View Results,FALSE,A biometric screening measures the key factors that affect,,,
tva,Page_Journey,newmemberjourney,ContacCoach,Contact Your Health Coach,Contact,TRUE,Your coach is your cheerleader,,,
tva,Page_Journey,newmemberjourney,DownloApp,Download the AlwaysOn App,Download App,TRUE,Download the AlwaysOn app,,,
tva,Page_Journey,newmemberjourney,ConnecDevice,Connect Your Fitness Device,Connect,TRUE,Are you having trouble fitting exercise,,,
tva,Page_Journey,newmemberjourney,ConnecApp,Connect Your Nutrition App,Connect,TRUE,Discover how to eat your way to better health,,,
tva,Page_Journey,newmemberjourney,TakeCourse,Take the Preventive Health Course,Take The Course,TRUE,true what they say about an ounce of prevention,,,
tva,Page_Journey,newmemberjourney,ProgressCheck-In,Progress Check-In,Check-In,TRUE,so it just makes sense to check in now and then,,,
tva,Page_Journey,newmemberjourney,ListenPodcast,Listen to a Podcast,Listen,TRUE,Learn on the go,,,
tva,Page_Journey,newmemberjourney,CareManagement,Manage Your Care,Learn More,TRUE,Living with a complex illness or chronic health condition,,,
